ProviderID,Name,Region,LocalRegion,Samples,SuccessRate,AvgTTFB(ms),P95TTFB(ms),AvgSpeed(MB/s),Error
1,Kubuxu's dev node,C=FI;ST=Uusimaa;L=Helsinki,C=SG;ST=North West;L=Singapore,3,0.00,0,0,0.00,No valid sample pieces found
2,ezpdpz-calib2,C=GB;ST=Gloucestershire;L=Cheltenham,C=SG;ST=North West;L=Singapore,3,1.00,421,729,0.48,
5,Mongo2Stor,C=US;ST=California;L=Chino,C=SG;ST=North West;L=Singapore,3,1.00,530,934,0.17,
6,beck-calib,C=CN;ST=Zhejiang;L=Hangzhou,C=SG;ST=North West;L=Singapore,3,1.00,39,67,23.23,
4,infrafolio-calib,C=US;ST=Texas;L=Austin,C=SG;ST=North West;L=Singapore,3,1.00,546,923,7.05,
